Tinggi,Gender,Pengukuran,L,M,S
107.5,L,Length,-0.3521,17.4237,0.08599
107.5,P,Length,-0.3833,17.4039,0.09307
108,L,Height,-0.3521,17.8226,0.08673
108,P,Height,-0.3833,17.8407,0.09352
108,L,Length,-0.3521,17.5885,0.08629
108,P,Length,-0.3833,17.5839,0.09326
108.5,L,Height,-0.3521,17.9924,0.08704
108.5,P,Height,-0.3833,18.0277,0.09371
108.5,L,Length,-0.3521,17.7553,0.0866
108.5,P,Length,-0.3833,17.7668,0.09344
109,L,Height,-0.3521,18.1645,0.08736
109,P,Height,-0.3833,18.2174,0.0939
109,L,Length,-0.3521,17.9242,0.08691
109,P,Length,-0.3833,17.9526,0.09363
109.5,L,Height,-0.3521,18.339,0.08768
109.5,P,Height,-0.3833,18.4096,0.09409
109.5,L,Length,-0.3521,18.0954,0.08723
109.5,P,Length,-0.3833,18.1412,0.09382
110,L,Height,-0.3521,18.5158,0.088
110,P,Height,-0.3833,18.6043,0.09428
110,L,Length,-0.3521,18.2689,0.08755
110,P,Length,-0.3833,18.3324,0.09401
110.5,L,Height,-0.3521,18.6948,0.08832
110.5,P,Height,-0.3833,18.8015,0.09448
111,L,Height,-0.3521,18.8759,0.08864
111,P,Height,-0.3833,19.0009,0.09467
111.5,L,Height,-0.3521,19.059,0.08896
111.5,P,Height,-0.3833,19.2024,0.09487
112,L,Height,-0.3521,19.2439,0.08928
112,P,Height,-0.3833,19.406,0.09507
112.5,L,Height,-0.3521,19.4304,0.0896
112.5,P,Height,-0.3833,19.6116,0.09527
113,L,Height,-0.3521,19.6185,0.08991
113,P,Height,-0.3833,19.819,0.09546
113.5,L,Height,-0.3521,19.8081,0.09022
113.5,P,Height,-0.3833,20.028,0.09566
114,L,Height,-0.3521,19.999,0.09054
114,P,Height,-0.3833,20.2385,0.09586
114.5,L,Height,-0.3521,20.1912,0.09085
114.5,P,Height,-0.3833,20.4502,0.09606
115,L,Height,-0.3521,20.3846,0.09116
115,P,Height,-0.3833,20.6629,0.09626
115.5,L,Height,-0.3521,20.5789,0.09147
115.5,P,Height,-0.3833,20.8766,0.09646
116,L,Height,-0.3521,20.7741,0.09177
116,P,Height,-0.3833,21.0909,0.09666
116.5,L,Height,-0.3521,20.97,0.09208
116.5,P,Height,-0.3833,21.3059,0.09686
117,L,Height,-0.3521,21.1666,0.09239
117,P,Height,-0.3833,21.5213,0.09707
117.5,L,Height,-0.3521,21.3636,0.0927
117.5,P,Height,-0.3833,21.737,0.09727
118,L,Height,-0.3521,21.5611,0.093
118,P,Height,-0.3833,21.9529,0.09747
118.5,L,Height,-0.3521,21.7588,0.09331
118.5,P,Height,-0.3833,22.169,0.09767
119,L,Height,-0.3521,21.9568,0.09362
119,P,Height,-0.3833,22.3851,0.09788
119.5,L,Height,-0.3521,22.1549,0.09393
119.5,P,Height,-0.3833,22.6012,0.09808
120,L,Height,-0.3521,22.353,0.09424
120,P,Height,-0.3833,22.8173,0.09828
